Confige File = ./cache_buffer.cfg
Total inst: 300000000
Input File Path = /home/luo/spec2006/BenchmarkTrace/436-cactusADM_T.dat
Output File Path = ./result/436-cactusADM.out
Int: 5000000	Progress:1.666667%
Int: 10000000	Progress:3.333333%
Int: 15000000	Progress:5.000000%
Int: 20000000	Progress:6.666667%
Int: 25000000	Progress:8.333333%
Int: 30000000	Progress:10.000000%
Int: 35000000	Progress:11.666667%
Int: 40000000	Progress:13.333333%
Int: 45000000	Progress:15.000000%
Int: 50000000	Progress:16.666667%
Int: 55000000	Progress:18.333333%
Int: 60000000	Progress:20.000000%
Int: 65000000	Progress:21.666667%
Int: 70000000	Progress:23.333333%
Int: 75000000	Progress:25.000000%
Int: 80000000	Progress:26.666667%
Int: 85000000	Progress:28.333333%
Int: 90000000	Progress:30.000000%
Int: 95000000	Progress:31.666667%
Int: 100000000	Progress:33.333333%
Int: 105000000	Progress:35.000000%
Int: 110000000	Progress:36.666667%
Int: 115000000	Progress:38.333333%
Int: 120000000	Progress:40.000000%
Int: 125000000	Progress:41.666667%
Int: 130000000	Progress:43.333333%
Int: 135000000	Progress:45.000000%
Int: 140000000	Progress:46.666667%
Int: 145000000	Progress:48.333333%
Int: 150000000	Progress:50.000000%
Int: 155000000	Progress:51.666667%
Int: 160000000	Progress:53.333333%
Int: 165000000	Progress:55.000000%
Int: 170000000	Progress:56.666667%
Int: 175000000	Progress:58.333333%
Int: 180000000	Progress:60.000000%
Int: 185000000	Progress:61.666667%
