Confige File = ./cache_setting1.cfg
Total inst: 500000000
Input File Path = /home/luo/spec2006/BenchmarkTrace/400-perlbench_T.dat
Output File Path = ./result_setting1/400-perlbench.out
Int: 5000000	Progress:1.000000%
Int: 10000000	Progress:2.000000%
Int: 15000000	Progress:3.000000%
Int: 20000000	Progress:4.000000%
Int: 25000000	Progress:5.000000%
Int: 30000000	Progress:6.000000%
Int: 35000000	Progress:7.000000%
Int: 40000000	Progress:8.000000%
Int: 45000000	Progress:9.000000%
Int: 50000000	Progress:10.000000%
Int: 55000000	Progress:11.000000%
Int: 60000000	Progress:12.000000%
Int: 65000000	Progress:13.000000%
Int: 70000000	Progress:14.000000%
Int: 75000000	Progress:15.000000%
Int: 80000000	Progress:16.000000%
Int: 85000000	Progress:17.000000%
Int: 90000000	Progress:18.000000%
Int: 95000000	Progress:19.000000%
Int: 100000000	Progress:20.000000%
Int: 105000000	Progress:21.000000%
Int: 110000000	Progress:22.000000%
Int: 115000000	Progress:23.000000%
Int: 120000000	Progress:24.000000%
Int: 125000000	Progress:25.000000%
Int: 130000000	Progress:26.000000%
Int: 135000000	Progress:27.000000%
Int: 140000000	Progress:28.000000%
Int: 145000000	Progress:29.000000%
Int: 150000000	Progress:30.000000%
Int: 155000000	Progress:31.000000%
Int: 160000000	Progress:32.000000%
Int: 165000000	Progress:33.000000%
Int: 170000000	Progress:34.000000%
Int: 175000000	Progress:35.000000%
Int: 180000000	Progress:36.000000%
Int: 185000000	Progress:37.000000%
Int: 190000000	Progress:38.000000%
Int: 195000000	Progress:39.000000%
Int: 200000000	Progress:40.000000%
Int: 205000000	Progress:41.000000%
Int: 210000000	Progress:42.000000%
Int: 215000000	Progress:43.000000%
Int: 220000000	Progress:44.000000%
Int: 225000000	Progress:45.000000%
Int: 230000000	Progress:46.000000%
Int: 235000000	Progress:47.000000%
Int: 240000000	Progress:48.000000%
Int: 245000000	Progress:49.000000%
Int: 250000000	Progress:50.000000%
Int: 255000000	Progress:51.000000%
Int: 260000000	Progress:52.000000%
Int: 265000000	Progress:53.000000%
Int: 270000000	Progress:54.000000%
Int: 275000000	Progress:55.000000%
Int: 280000000	Progress:56.000000%
Int: 285000000	Progress:57.000000%
Int: 290000000	Progress:58.000000%
Int: 295000000	Progress:59.000000%
Int: 300000000	Progress:60.000000%
Int: 305000000	Progress:61.000000%
Int: 310000000	Progress:62.000000%
Int: 315000000	Progress:63.000000%
Int: 320000000	Progress:64.000000%
Int: 325000000	Progress:65.000000%
Int: 330000000	Progress:66.000000%
Int: 335000000	Progress:67.000000%
Int: 340000000	Progress:68.000000%
Int: 345000000	Progress:69.000000%
Int: 350000000	Progress:70.000000%
Int: 355000000	Progress:71.000000%
Int: 360000000	Progress:72.000000%
Int: 365000000	Progress:73.000000%
Int: 370000000	Progress:74.000000%
Int: 375000000	Progress:75.000000%
Int: 380000000	Progress:76.000000%
Int: 385000000	Progress:77.000000%
Int: 390000000	Progress:78.000000%
Int: 395000000	Progress:79.000000%
Int: 400000000	Progress:80.000000%
Int: 405000000	Progress:81.000000%
Int: 410000000	Progress:82.000000%
Int: 415000000	Progress:83.000000%
Int: 420000000	Progress:84.000000%
Int: 425000000	Progress:85.000000%
Int: 430000000	Progress:86.000000%
Int: 435000000	Progress:87.000000%
Int: 440000000	Progress:88.000000%
Int: 445000000	Progress:89.000000%
Int: 450000000	Progress:90.000000%
Int: 455000000	Progress:91.000000%
Int: 460000000	Progress:92.000000%
Int: 465000000	Progress:93.000000%
Int: 470000000	Progress:94.000000%
Int: 475000000	Progress:95.000000%
Int: 480000000	Progress:96.000000%
Int: 485000000	Progress:97.000000%
Int: 490000000	Progress:98.000000%
Int: 495000000	Progress:99.000000%
